Query,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Mean_seasonality,ACF_12,Summer_winter_ratio,Label
Graduation Ceremony Ideas,6.523809523809524,10.7,16.95,24,44.85,24.45,7.25,4.7,5.1,6.6,6.3,4.5,0.997831085,0.7462302119225962,1.6755808855765018,1
Grandparents Day,2.7142857142857144,3.35,3.35,4.35,6.45,4.7,3.7,11.95,59.9,4.25,3.4,2.15,0.9971306363859671,0.9484606862597026,2.477391304347827,1
Groundhog Day,15,75.2,3.65,3.05,2.45,2.25,2.05,2.25,2.15,2,2.5,3,1.0025214789168224,0.9292623137040356,0.07027897,1
Guy Fawkes Night Fireworks,0,0,0,0.1,0.1,0,0,0,1.6,19.8,46.85,0.2,0.995850623,0.8945697076712165,0,1
Halloween Costume Ideas,0.3333333333333333,0.2,0,0,0,0.45,1,3,14.15,61.5,1.45,0.3,0.9960421341246571,0.9284838992348995,5.340000000000001,1
Hanukkah Candle Lighting Schedule,1.7142857142857142,0,0,0,0,0,0,0,0,5,0,0,1.0020397494242703,-0.007181254,0,1
High School Prom Themes,15.095238095238095,0,5.2,4.65,3.15,5,0,2.35,4.9,5.05,5.85,5,1.0056581303789025,0.10749774615633427,0.3657582938388625,1
Hiroshima Bombing,29.761904761904763,37.5,46,52.95,53.75,19.4,16.55,28.3,19.45,21,27,29.6,0.9996752687498037,0.5980133028802235,0.6633154712157711,1
Holiday Gift Ideas,1,0.85,0.8,0.8,0.85,0.9,0.95,1.8,2.55,6,26.6,42.2,0.9966418385837356,0.8785062709827027,0.082860386,1
Homecoming Dance Ideas,1.9047619047619047,0.65,0,0.2,0.25,1.2,0,5.45,35.65,9.3,0.65,0.15,0.9975650864594672,0.8343754572784126,2.4586267605633805,1
Hurricane Season Prep,0,0,0,0,4.45,5,3.85,4.65,4.3,0,0,0,0.9994416622552496,-0.014042668,0,1
International Women's Day Events,1.0476190476190477,3.05,10.45,0.55,0.45,0.3,0.3,0.4,0.25,0.3,0.4,0.4,0.9995210319857976,0.2533249884895278,0.22233986236103756,1
International Yoga Day Events,0,0,1.05,0.45,2.85,26.95,0,0,0,0,0,0,0.9980379943741265,0.6902782982616454,0,1
King's Day in the Netherlands,0,0,4.15,8.8,0,0,0,0,0,1.9,0,2.4,0.9990898195284122,0.2819981099239382,0,1
Kwanzaa Principles,5.571428571428571,1.55,1.25,1.1,0.95,0.95,0.6,0.9,1.4,2,6.15,55.45,0.9995582337769001,0.8756998795532401,0.039155251,1
Labor Day Weekend Getaways,0.14285714285714285,0,0,0.45,0.55,1.7,10.2,61,8.5,0,0.15,0,0.996106794,0.9243257402102552,510.30000000000024,1
Mardi Gras Events,25.571428571428573,50.45,11.35,3.45,2.75,2.85,2.9,3.3,3.55,5.55,5.75,9.2,1.0058784275464763,0.7072799225163701,0.10619394853742353,1
Memorial Day Weekend Travel,1.0476190476190477,2.05,4.2,12.6,43.35,0.1,0.1,0,0,0,0,0,0.9967981806697163,0.7903595038165561,0.064565719,1
Mid-Autumn Festival Traditions,0,0,0,0,0,0,0,0,12.7,0,0,0,0.999450083,-0.012750769,0,1
Monsoon Season Destinations,0,0,0,0,4.6,2.8,5,0,0,0,0,0,0.999465325,-0.012551562,0,1
Mother's Day Gifts,0.6190476190476191,2.45,6.45,13.15,30.75,0.75,0.55,0.45,0.45,0.4,0.4,0.45,0.9983206908121098,0.7897719141994651,0.4972936400541272,1
NBA Finals Schedule,0,0,0.1,0.95,10.25,27.35,1.4,0.05,0.4,0.45,0,0,0.9960476201404935,0.6633803982905772,0,1
NCAA March Madness Bracket,0.3333333333333333,1.85,53.95,1.95,0,0,0,0,0,0,0,0,0.9961116483285692,0.8693118931775491,0,1
New Year's Eve Party Ideas,0.8095238095238095,0,0,0,0,0.1,0,0,0.25,1.4,4.05,30.75,0.9988057896297343,0.8122754741528497,0.003168616,1
New Year's Resolutions,35.80952380952381,1.85,1,0.7,0.5,0.5,0.55,0.85,0.7,0.85,2.05,24.05,1.0096312142958133,0.8692342284636058,0.030789413,1
NFC Championship,56.04761904761905,4.35,1.3,1.15,1.4,1.25,1.55,1.85,2.9,2.2,2.45,4.8,1.0294587587733857,0.9130467819909218,0.071321623,1
NFL Draft Predictions,30.476190476190474,19.15,19.3,41.3,5,1.1,1.7,3.4,3.5,2.85,6.15,12.05,1.0054899139013096,0.7976187412635644,0.10052501544163063,1
Oktoberfest Celebrations Near Me,0,0,0,0,0,0,0,3.1,8.1,4.1,0,0,0.9992656490990272,0.24437956676108197,0,1
Parent-Teacher Conference Tips,0,0.35,0,0,0,0,0,0,0,5,0,0,0.9994806978798393,-0.000547252,0,1
Passover Meal Recipes,0,0.3,19.25,37.9,0,0,0,0,0,0,0,0,0.995850623,0.5613158571021071,0,1
Pearl Harbor Attack,34.476190476190474,42.7,51,53.5,53.4,20.5,13.6,12.9,19.85,19.75,28.35,60.95,0.9999755994709044,0.778992,0.3402685604950615,1
Pride Month Events,1.0952380952380953,1.1,1.1,1.6,7,22.1,1.5,0.6,0.6,0.75,0.4,0.4,0.997912243,0.7443859495942409,9.324770642201836,1
Pumpkin Carvings,0,0,0.05,0,0,0,0,0.05,2.65,73.45,2.45,0,0.9958506231519146,0.9565242667114063,0,1
Pumpkin Patch Near Me,0,0,0,0,0,0,0,0.3,4.05,22.1,0.5,0,0.9978057709880204,0.899650138,0,1
Ramadan Fasting,1.2857142857142858,1.7,6.05,12.65,10.05,8.45,7.75,7.6,7.35,6.75,2,1.55,0.996524907,0.6696772827501739,5.247244094488189,1
Rosa Parks Day,37.142857142857146,51.95,21.3,15.85,18,5.1,2.45,4.35,10.25,10.7,19.45,27.05,1.0047196915615046,0.630270667,0.10246002460024599,1
Rosh Hashanah Traditions,0.14285714285714285,0.1,0.1,0.05,0,0,0,1.6,21.65,1.9,0,0.5,0.9964433459069841,0.4933598373087272,2.153846153846154,1
Science Fair Project Ideas,28.428571428571427,17.45,12.35,9.35,4.55,0.65,0.9,7.05,21.7,20.85,19.95,15.2,1.0038316854751752,0.7460508048335293,0.1408022453514209,1
September 11 Attacks,5.0476190476190474,5.55,5.9,6.85,7.5,5.65,5.8,7.2,36.45,6.65,6,5.15,0.9982148235493912,0.721226958,1.1843060175385545,1
Ski Resorts,56.142857142857146,38.6,20.45,9.7,7.2,7.85,10.3,13.4,16.7,23.95,37,55.1,1.0050982969128492,0.8862020402172454,0.21055391362379633,1
Spring Break Travel Destinations,42.80952380952381,35.85,20.6,0.55,0,1.05,1.65,1.05,14,6.85,9.95,15.55,1.0087925517758995,0.7158029344553714,0.039804892842701174,1
St. Patrick's Day Parade,1.7619047619047619,5.5,27.4,0.35,0.1,0.05,0.15,0.1,0.2,0.25,0.3,0.45,0.9989542593492782,0.7766679756817446,0.038900895,1
Summer Camp Registration,34.285714285714285,42,58.55,65.05,72,63.85,31.25,8.9,2.3,3.75,4.1,7.05,0.999711114,0.8152573078453234,1.2479643438758892,1
Summer Solstice Festivals,0.23809523809523808,0.8,0.6,2.7,7.5,33.15,1.4,0,0,4.25,0.8,0.35,0.996748848,0.5376426581947462,24.890222984562605,1
Summer Vacation Destinations,16.476190476190474,17.15,20.6,25,29.2,39.55,19.2,4.75,1.15,1.8,2.6,6.9,0.9997511351374209,0.5973142833420935,1.5668879619293816,1
Sunflower Field Locations,0,0.75,0.75,0,4,1.95,10,15.55,4.9,2.8,0,1.5,0.9983177207933353,0.4822268678782599,12.222222222222221,1
